Date,Crop,Quantity Sold (kg),Price per kg (₹),Revenue (₹)
2021-01-05,Peanut,1065,63.89,68042.85
2021-01-05,Sorghum,727,21.41,15565.07
2021-01-05,Barley,875,28.65,25068.75
2021-01-06,Rice,1136,32.17,36545.12
2021-01-06,Wheat,2014,25.37,51095.18
2021-01-06,Corn,1354,22.46,30410.84
2021-01-06,Millet,1157,19.32,22353.24
2021-01-06,Soybean,1404,54.2,76096.8
2021-01-06,Rapeseed,1130,50.21,56737.3
2021-01-06,Peanut,885,61.04,54020.4
2021-01-06,Sorghum,865,19.42,16798.3
2021-01-06,Barley,989,25.68,25397.52
2021-01-07,Rice,906,29.43,26663.58
2021-01-07,Wheat,2092,25.81,53994.52
2021-01-07,Corn,748,24.19,18094.12
2021-01-07,Millet,1085,16.71,18130.35
2021-01-07,Soybean,770,47.64,36682.8
2021-01-07,Rapeseed,966,56.7,54772.2
2021-01-07,Peanut,1046,54.33,56829.18
2021-01-07,Sorghum,769,19.11,14695.59
2021-01-07,Barley,877,28.78,25240.06
2021-01-08,Rice,1190,31.57,37568.3
2021-01-08,Wheat,789,26.81,21153.09
2021-01-08,Corn,1599,20.43,32667.57
2021-01-08,Millet,1160,17.71,20543.6
2021-01-08,Soybean,744,53.37,39707.28
2021-01-08,Rapeseed,584,58.45,34134.8
2021-01-08,Peanut,1131,58.4,66050.4
2021-01-08,Sorghum,1035,19.3,19975.5
2021-01-08,Barley,1048,30.31,31764.88
2021-01-09,Rice,1006,30.24,30421.44
2021-01-09,Wheat,1534,23.85,36585.9
2021-01-09,Corn,1231,22.09,27192.79
2021-01-09,Millet,849,18.56,15757.44
2021-01-09,Soybean,827,53.97,44633.19
2021-01-09,Rapeseed,534,57.39,30646.26
2021-01-09,Peanut,987,65.89,65033.43
2021-01-09,Sorghum,1359,20.15,27383.85
2021-01-09,Barley,1023,29.47,30147.81
2021-01-10,Rice,645,28.51,18388.95
2021-01-10,Wheat,1503,24.42,36703.26
2021-01-10,Corn,1734,21.38,37072.92
2021-01-10,Millet,771,19.4,14957.4
2021-01-10,Soybean,1380,51.99,71746.2
2021-01-10,Rapeseed,914,53.55,48944.7
2021-01-10,Peanut,761,61.3,46649.3
2021-01-10,Sorghum,935,20.01,18709.35
2021-01-10,Barley,1069,30.23,32315.87
2021-01-11,Rice,518,28.15,14581.7
2021-01-11,Wheat,1317,23.11,30435.87
2021-01-11,Corn,993,21.08,20932.44
2021-01-11,Millet,548,18.39,10077.72
2021-01-11,Soybean,914,53.87,49237.18
2021-01-11,Rapeseed,1158,57.92,67071.36
2021-01-11,Peanut,800,59.66,47728.0
2021-01-11,Sorghum,853,19.4,16548.2
2021-01-11,Barley,688,29.75,20468.0
2021-01-12,Rice,1311,30.31,39736.41
2021-01-12,Wheat,954,23.52,22438.08
2021-01-12,Corn,1719,21.04,36167.76
2021-01-12,Millet,1497,16.73,25044.81
2021-01-12,Soybean,1298,53.73,69741.54
2021-01-12,Rapeseed,970,56.08,54397.6
2021-01-12,Peanut,1250,55.35,69187.5
2021-01-12,Sorghum,1349,18.02,24308.98
2021-01-12,Barley,1393,26.78,37304.54
2021-01-13,Rice,1255,27.46,34462.3
2021-01-13,Wheat,1542,25.51,39336.42
2021-01-13,Corn,1907,20.96,39970.72
2021-01-13,Millet,572,17.86,10215.92
2021-01-13,Soybean,1102,51.01,56213.02
2021-01-13,Rapeseed,1209,52.28,63206.52
2021-01-13,Peanut,1481,59.42,88001.02
2021-01-13,Sorghum,1496,19.29,28857.84
2021-01-13,Barley,1278,25.94,33151.32
2021-01-14,Rice,1054,31.56,33264.24
2021-01-14,Wheat,1057,23.88,25241.16
2021-01-14,Corn,1436,19.81,28447.16
2021-01-14,Millet,726,17.44,12661.44
2021-01-14,Soybean,630,49.16,30970.8
2021-01-14,Rapeseed,947,49.58,46952.26
2021-01-14,Peanut,685,59.18,40538.3
2021-01-14,Sorghum,851,20.27,17249.77
2021-01-14,Barley,883,30.0,26490.0
2021-01-15,Rice,964,29.82,28746.48
2021-01-15,Wheat,949,25.33,24038.17
2021-01-15,Corn,1038,21.38,22192.44
2021-01-15,Millet,739,17.5,12932.5
2021-01-15,Soybean,1292,47.65,61563.8
2021-01-15,Rapeseed,1306,59.62,77863.72
2021-01-15,Peanut,639,64.16,40998.24
2021-01-15,Sorghum,734,18.19,13351.46
2021-01-15,Barley,755,29.29,22113.95
2021-01-16,Rice,1015,28.63,29059.45
2021-01-16,Wheat,1066,23.65,25210.9
2021-01-16,Corn,1267,21.72,27519.24
2021-01-16,Millet,563,16.51,9295.13
2021-01-16,Soybean,515,53.39,27495.85
2021-01-16,Rapeseed,824,54.84,45188.16
2021-01-16,Peanut,1272,58.19,74017.68
2021-01-16,Sorghum,516,21.81,11253.96
2021-01-16,Barley,1371,27.56,37784.76
2021-01-17,Rice,509,30.35,15448.15
2021-01-17,Wheat,1897,25.38,48145.86
2021-01-17,Corn,835,22.7,18954.5
2021-01-17,Millet,1418,17.01,24120.18
2021-01-17,Soybean,1167,47.45,55374.15
2021-01-17,Rapeseed,983,55.01,54074.83
2021-01-17,Peanut,1035,63.49,65712.15
2021-01-17,Sorghum,539,21.18,11416.02
2021-01-17,Barley,561,27.8,15595.8
2021-01-18,Rice,1498,28.93,43337.14
2021-01-18,Wheat,1726,24.72,42666.72
2021-01-18,Corn,1420,22.42,31836.4
2021-01-18,Millet,1245,18.97,23617.65
2021-01-18,Soybean,1422,50.36,71611.92
2021-01-18,Rapeseed,870,56.47,49128.9
2021-01-18,Peanut,873,54.83,47866.59
2021-01-18,Sorghum,511,21.46,10966.06
2021-01-18,Barley,1240,27.49,34087.6
2021-01-19,Rice,1389,29.0,40281.0
2021-01-19,Wheat,1713,25.55,43767.15
2021-01-19,Corn,1922,21.1,40554.2
2021-01-19,Millet,735,17.31,12722.85
2021-01-19,Soybean,870,45.53,39611.1
2021-01-19,Rapeseed,1248,53.06,66218.88
2021-01-19,Peanut,1339,57.39,76845.21
2021-01-19,Sorghum,1374,21.2,29128.8
2021-01-19,Barley,907,28.99,26293.93
2021-01-20,Rice,563,28.43,16006.09
2021-01-20,Wheat,1378,25.04,34505.12
2021-01-20,Corn,1002,20.13,20170.26
2021-01-20,Millet,597,19.69,11754.93
2021-01-20,Soybean,1474,47.53,70059.22
2021-01-20,Rapeseed,742,56.38,41833.96
2021-01-20,Peanut,1405,63.38,89048.9
2021-01-20,Sorghum,678,20.17,13675.26
2021-01-20,Barley,769,30.14,23177.66
2021-01-21,Rice,985,30.14,29687.9
2021-01-21,Wheat,1615,24.82,40084.3
2021-01-21,Corn,1882,20.08,37790.56
2021-01-21,Millet,1479,18.57,27465.03
2021-01-21,Soybean,856,45.39,38853.84
2021-01-21,Rapeseed,845,54.81,46314.45
2021-01-21,Peanut,1188,54.24,64437.12
2021-01-21,Sorghum,649,18.46,11980.54
2021-01-21,Barley,1295,26.53,34356.35
2021-01-22,Rice,759,29.63,22489.17
2021-01-22,Wheat,913,25.4,23190.2
2021-01-22,Corn,1495,22.47,33592.65
2021-01-22,Millet,893,19.05,17011.65
2021-01-22,Soybean,1211,53.45,64727.95
2021-01-22,Rapeseed,1045,54.46,56910.7
2021-01-22,Peanut,1378,59.8,82404.4
2021-01-22,Sorghum,1335,18.93,25271.55
2021-01-22,Barley,1423,27.1,38563.3
2021-01-23,Rice,815,31.68,25819.2
2021-01-23,Wheat,1606,23.65,37981.9
2021-01-23,Corn,752,23.56,17717.12
2021-01-23,Millet,757,16.45,12452.65
2021-01-23,Soybean,1232,52.9,65172.8
2021-01-23,Rapeseed,1084,60.07,65115.88
2021-01-23,Peanut,1232,61.94,76310.08
2021-01-23,Sorghum,836,20.41,17062.76
2021-01-23,Barley,671,29.09,19519.39
2021-01-24,Rice,1340,29.93,40106.2
2021-01-24,Wheat,1564,22.7,35502.8
2021-01-24,Corn,1690,21.68,36639.2
2021-01-24,Millet,771,17.59,13561.89
2021-01-24,Soybean,906,46.85,42446.1
2021-01-24,Rapeseed,809,52.3,42310.7
2021-01-24,Peanut,1048,60.26,63152.48
2021-01-24,Sorghum,512,21.98,11253.76
2021-01-24,Barley,1117,30.09,33610.53
2021-01-25,Rice,883,32.15,28388.45
2021-01-25,Wheat,2235,27.06,60479.1
2021-01-25,Corn,1222,24.09,29437.98
2021-01-25,Millet,1414,17.24,24377.36
2021-01-25,Soybean,1150,54.96,63204.0
2021-01-25,Rapeseed,1228,57.92,71125.76
2021-01-25,Peanut,962,55.79,53669.98
2021-01-25,Sorghum,530,21.91,11612.3
2021-01-25,Barley,652,28.18,18373.36
2021-01-26,Rice,535,29.98,16039.3
2021-01-26,Wheat,1944,23.98,46617.12
2021-01-26,Corn,981,21.65,21238.65
2021-01-26,Millet,753,16.84,12680.52
2021-01-26,Soybean,520,51.64,26852.8
2021-01-26,Rapeseed,1492,54.55,81388.6
2021-01-26,Peanut,1483,54.21,80393.43
2021-01-26,Sorghum,536,20.56,11020.16
2021-01-26,Barley,1414,30.6,43268.4
2021-01-27,Rice,1220,27.01,32952.2
2021-01-27,Wheat,1060,26.38,27962.8
2021-01-27,Corn,1536,19.96,30658.56
2021-01-27,Millet,1003,19.46,19518.38
2021-01-27,Soybean,1019,51.84,52824.96
2021-01-27,Rapeseed,596,54.8,32660.8
2021-01-27,Peanut,1285,65.44,84090.4
2021-01-27,Sorghum,1445,19.64,28379.8
2021-01-27,Barley,506,26.24,13277.44
2021-01-28,Rice,1023,31.1,31815.3
2021-01-28,Wheat,1633,27.44,44809.52
2021-01-28,Corn,1677,20.41,34227.57
2021-01-28,Millet,1325,16.74,22180.5
2021-01-28,Soybean,555,52.94,29381.7
2021-01-28,Rapeseed,646,59.46,38411.16
2021-01-28,Peanut,752,62.17,46751.84
2021-01-28,Sorghum,1244,20.35,25315.4
2021-01-28,Barley,1235,26.96,33295.6
2021-01-29,Rice,852,27.34,23293.68
2021-01-29,Wheat,1728,22.57,39000.96
2021-01-29,Corn,830,22.09,18334.7
2021-01-29,Millet,944,18.39,17360.16
2021-01-29,Soybean,919,49.6,45582.4
2021-01-29,Rapeseed,649,54.97,35675.53
2021-01-29,Peanut,615,65.76,40442.4
2021-01-29,Sorghum,769,18.9,14534.1
2021-01-29,Barley,933,27.45,25610.85
2021-01-30,Rice,1129,29.71,33542.59
2021-01-30,Wheat,1984,23.29,46207.36
2021-01-30,Corn,1346,21.45,28871.7
2021-01-30,Millet,1236,17.94,22173.84
2021-01-30,Soybean,1276,50.35,64246.6
2021-01-30,Rapeseed,1429,57.98,82853.42
2021-01-30,Peanut,869,62.18,54034.42
2021-01-30,Sorghum,1272,19.88,25287.36
2021-01-30,Barley,810,27.46,22242.6
2021-01-31,Rice,984,29.45,28978.8
2021-01-31,Wheat,1780,27.35,48683.0
2021-01-31,Corn,1137,20.51,23319.87
2021-01-31,Millet,1032,19.67,20299.44
2021-01-31,Soybean,636,51.74,32906.64
2021-01-31,Rapeseed,1474,57.22,84342.28
2021-01-31,Peanut,867,57.03,49445.01
2021-01-31,Sorghum,745,21.32,15883.4
2021-01-31,Barley,577,29.67,17119.59
2021-02-01,Rice,1273,30.0,38190.0
2021-02-01,Wheat,1004,26.71,26816.84
2021-02-01,Corn,892,21.55,19222.6
2021-02-01,Millet,1076,18.27,19658.52
2021-02-01,Soybean,1495,54.78,81896.1
2021-02-01,Rapeseed,1402,56.18,78764.36
2021-02-01,Peanut,818,59.98,49063.64
2021-02-01,Sorghum,558,19.1,10657.8
2021-02-01,Barley,747,29.08,21722.76
2021-02-02,Rice,1293,32.6,42151.8
2021-02-02,Wheat,619,27.15,16805.85
2021-02-02,Corn,783,23.82,18651.06
2021-02-02,Millet,959,19.6,18796.4
2021-02-02,Soybean,1056,46.01,48586.56
2021-02-02,Rapeseed,1082,58.79,63610.78
2021-02-02,Peanut,982,63.09,61954.38
2021-02-02,Sorghum,896,19.56,17525.76
2021-02-02,Barley,766,26.9,20605.4
2021-02-03,Rice,591,32.21,19036.11
2021-02-03,Wheat,891,26.65,23745.15
2021-02-03,Corn,1843,21.34,39329.62
2021-02-03,Millet,1296,16.54,21435.84
2021-02-03,Soybean,587,46.93,27547.91
2021-02-03,Rapeseed,951,50.4,47930.4
2021-02-03,Peanut,1050,57.58,60459.0
2021-02-03,Sorghum,553,20.92,11568.76
2021-02-03,Barley,730,28.67,20929.1
2021-02-04,Rice,1185,31.88,37777.8
2021-02-04,Wheat,1512,23.54,35592.48
2021-02-04,Corn,2202,21.82,48047.64
2021-02-04,Millet,536,16.7,8951.2
2021-02-04,Soybean,1122,52.41,58804.02
2021-02-04,Rapeseed,1224,51.35,62852.4
2021-02-04,Peanut,1132,56.28,63708.96
2021-02-04,Sorghum,835,18.86,15748.1
2021-02-04,Barley,954,26.23,25023.42
2021-02-05,Rice,1385,32.09,44444.65
2021-02-05,Wheat,780,25.45,19851.0
2021-02-05,Corn,1741,22.54,39242.14
2021-02-05,Millet,951,16.47,15662.97
2021-02-05,Soybean,611,49.01,29945.11
2021-02-05,Rapeseed,1636,51.38,84057.68
2021-02-05,Peanut,702,64.18,45054.36
2021-02-05,Sorghum,503,18.26,9184.78
2021-02-05,Barley,1560,25.9,40404.0
2021-02-06,Rice,541,28.47,15402.27
2021-02-06,Wheat,675,23.86,16105.5
2021-02-06,Corn,1471,21.87,32170.77
2021-02-06,Millet,767,18.16,13928.72
2021-02-06,Soybean,894,51.61,46139.34
2021-02-06,Rapeseed,976,55.1,53777.6
2021-02-06,Peanut,1376,61.58,84734.08
2021-02-06,Sorghum,805,20.18,16244.9
2021-02-06,Barley,838,29.31,24561.78
2021-02-07,Rice,679,32.07,21775.53
2021-02-07,Wheat,1794,25.63,45980.22
2021-02-07,Corn,2058,20.04,41242.32
2021-02-07,Millet,1152,18.59,21415.68
2021-02-07,Soybean,1440,47.87,68932.8
2021-02-07,Rapeseed,1279,59.2,75716.8
2021-02-07,Peanut,1332,63.51,84595.32
2021-02-07,Sorghum,1464,21.63,31666.32
2021-02-07,Barley,673,25.96,17471.08
2021-02-08,Rice,960,31.65,30384.0
2021-02-08,Wheat,885,23.48,20779.8
2021-02-08,Corn,1861,23.76,44217.36
2021-02-08,Millet,625,18.28,11425.0
2021-02-08,Soybean,1344,49.36,66339.84
2021-02-08,Rapeseed,835,59.99,50091.65
2021-02-08,Peanut,955,62.93,60098.15
2021-02-08,Sorghum,1146,19.93,22839.78
2021-02-08,Barley,1029,29.71,30571.59
2021-02-09,Rice,733,30.7,22503.1
2021-02-09,Wheat,1728,24.21,41834.88
2021-02-09,Corn,1881,22.58,42472.98
2021-02-09,Millet,1144,16.34,18692.96
2021-02-09,Soybean,655,49.47,32402.85
2021-02-09,Rapeseed,1470,52.05,76513.5
2021-02-09,Peanut,1182,56.12,66333.84
2021-02-09,Sorghum,874,21.8,19053.2
2021-02-09,Barley,841,26.71,22463.11
2021-02-10,Rice,686,29.69,20367.34
2021-02-10,Wheat,1467,26.13,38332.71
2021-02-10,Corn,1141,21.79,24862.39
2021-02-10,Millet,1088,17.25,18768.0
2021-02-10,Soybean,805,47.13,37939.65
2021-02-10,Rapeseed,1364,57.53,78470.92
2021-02-10,Peanut,1120,63.16,70739.2
2021-02-10,Sorghum,770,21.51,16562.7
2021-02-10,Barley,836,30.7,25665.2
2021-02-11,Rice,722,31.11,22461.42
2021-02-11,Wheat,1394,24.52,34180.88
2021-02-11,Corn,2070,23.39,48417.3
2021-02-11,Millet,1380,18.22,25143.6
2021-02-11,Soybean,1436,54.07,77644.52
2021-02-11,Rapeseed,1027,55.06,56546.62
2021-02-11,Peanut,1175,57.97,68114.75
2021-02-11,Sorghum,1074,21.65,23252.1
2021-02-11,Barley,1122,26.76,30024.72
2021-02-12,Rice,508,29.26,14864.08
2021-02-12,Wheat,1016,24.26,24648.16
2021-02-12,Corn,2203,23.11,50911.33
2021-02-12,Millet,1014,16.63,16862.82
2021-02-12,Soybean,792,54.31,43013.52
2021-02-12,Rapeseed,1022,55.45,56669.9
2021-02-12,Peanut,1023,55.64,56919.72
2021-02-12,Sorghum,1258,19.31,24291.98
2021-02-12,Barley,1398,28.65,40052.7
2021-02-13,Rice,999,32.9,32867.1
2021-02-13,Wheat,1737,27.46,47698.02
2021-02-13,Corn,1782,19.84,35354.88
2021-02-13,Millet,770,18.76,14445.2
2021-02-13,Soybean,1116,47.97,53534.52
2021-02-13,Rapeseed,687,50.13,34439.31
2021-02-13,Peanut,1073,56.5,60624.5
2021-02-13,Sorghum,1240,20.76,25742.4
2021-02-13,Barley,979,25.31,24778.49
2021-02-14,Rice,542,31.68,17170.56
2021-02-14,Wheat,1446,23.02,33286.92
2021-02-14,Corn,1443,20.03,28903.29
2021-02-14,Millet,1495,16.81,25130.95
2021-02-14,Soybean,611,48.15,29419.65
2021-02-14,Rapeseed,925,56.98,52706.5
2021-02-14,Peanut,601,65.21,39191.21
2021-02-14,Sorghum,1292,21.65,27971.8
2021-02-14,Barley,789,28.57,22541.73
2021-02-15,Rice,1429,29.25,41798.25
2021-02-15,Wheat,1143,22.52,25740.36
2021-02-15,Corn,2023,23.38,47297.74
2021-02-15,Millet,1035,16.84,17429.4
2021-02-15,Soybean,739,49.85,36839.15
2021-02-15,Rapeseed,697,54.76,38167.72
2021-02-15,Peanut,1369,55.19,75555.11
2021-02-15,Sorghum,1476,20.23,29859.48
2021-02-15,Barley,1249,27.29,34085.21
2021-02-16,Rice,1275,27.83,35483.25
2021-02-16,Wheat,1795,26.23,47082.85
2021-02-16,Corn,874,21.13,18467.62
2021-02-16,Millet,552,18.63,10283.76
2021-02-16,Soybean,755,54.25,40958.75
2021-02-16,Rapeseed,1384,50.77,70265.68
2021-02-16,Peanut,1417,60.14,85218.38
2021-02-16,Sorghum,1282,19.86,25460.52
2021-02-16,Barley,625,30.61,19131.25
2021-02-17,Rice,1128,28.72,32396.16
2021-02-17,Wheat,1664,27.47,45710.08
2021-02-17,Corn,1926,19.96,38442.96
2021-02-17,Millet,1371,19.77,27104.67
2021-02-17,Soybean,920,48.29,44426.8
2021-02-17,Rapeseed,657,53.96,35451.72
2021-02-17,Peanut,1266,57.87,73263.42
2021-02-17,Sorghum,1288,21.04,27099.52
2021-02-17,Barley,993,28.86,28657.98
2021-02-18,Rice,1087,32.26,35066.62
2021-02-18,Wheat,897,25.77,23115.69
2021-02-18,Corn,1783,24.0,42792.0
2021-02-18,Millet,1239,19.47,24123.33
2021-02-18,Soybean,924,47.21,43622.04
2021-02-18,Rapeseed,1386,57.88,80221.68
2021-02-18,Peanut,887,57.12,50665.44
2021-02-18,Sorghum,948,19.65,18628.2
2021-02-18,Barley,717,30.63,21961.71
2021-02-19,Rice,1056,32.99,34837.44
2021-02-19,Wheat,1160,25.08,29092.8
2021-02-19,Corn,1602,21.7,34763.4
2021-02-19,Millet,911,18.68,17017.48
2021-02-19,Soybean,613,52.61,32249.93
2021-02-19,Rapeseed,1266,54.22,68642.52
2021-02-19,Peanut,828,62.13,51443.64
2021-02-19,Sorghum,695,18.36,12760.2
2021-02-19,Barley,693,30.17,20907.81
2021-02-20,Rice,582,32.23,18757.86
2021-02-20,Wheat,1245,25.88,32220.6
2021-02-20,Corn,2148,22.28,47857.44
2021-02-20,Millet,810,17.74,14369.4
2021-02-20,Soybean,1365,54.13,73887.45
2021-02-20,Rapeseed,1257,59.76,75118.32
2021-02-20,Peanut,792,57.6,45619.2
2021-02-20,Sorghum,928,19.0,17632.0
2021-02-20,Barley,1416,26.48,37495.68
2021-02-21,Rice,513,31.57,16195.41
2021-02-21,Wheat,1518,22.84,34671.12
2021-02-21,Corn,1503,19.98,30029.94
2021-02-21,Millet,1032,16.25,16770.0
2021-02-21,Soybean,747,53.84,40218.48
2021-02-21,Rapeseed,654,51.58,33733.32
2021-02-21,Peanut,1139,62.06,70686.34
2021-02-21,Sorghum,1235,18.69,23082.15
2021-02-21,Barley,684,26.57,18173.88
2021-02-22,Rice,1409,27.27,38423.43
2021-02-22,Wheat,1342,23.03,30906.26
2021-02-22,Corn,885,23.7,20974.5
2021-02-22,Millet,1027,19.19,19708.13
2021-02-22,Soybean,1171,45.06,52765.26
2021-02-22,Rapeseed,1327,57.32,76063.64
2021-02-22,Peanut,860,65.23,56097.8
2021-02-22,Sorghum,844,20.47,17276.68
2021-02-22,Barley,1510,27.63,41721.3
2021-02-23,Rice,566,28.09,15898.94
2021-02-23,Wheat,1773,27.46,48686.58
2021-02-23,Corn,2175,20.26,44065.5
2021-02-23,Millet,733,17.99,13186.67
2021-02-23,Soybean,1347,50.35,67821.45
2021-02-23,Rapeseed,734,57.42,42146.28
2021-02-23,Peanut,958,65.49,62739.42
2021-02-23,Sorghum,856,21.77,18635.12
2021-02-23,Barley,1789,27.8,49734.2
2021-02-24,Rice,1424,28.93,41196.32
2021-02-24,Wheat,1725,24.16,41676.0
2021-02-24,Corn,898,21.58,19378.84
2021-02-24,Millet,642,17.29,11100.18
2021-02-24,Soybean,1225,47.84,58604.0
2021-02-24,Rapeseed,1632,59.55,97185.6
2021-02-24,Peanut,1473,61.61,90751.53
2021-02-24,Sorghum,1333,21.3,28392.9
2021-02-24,Barley,1462,25.79,37704.98
2021-02-25,Rice,1406,27.95,39297.7
2021-02-25,Wheat,1792,22.88,41000.96
2021-02-25,Corn,1524,24.02,36606.48
2021-02-25,Millet,1360,18.91,25717.6
2021-02-25,Soybean,696,52.71,36686.16
2021-02-25,Rapeseed,1527,57.59,87939.93
2021-02-25,Peanut,1323,61.11,80848.53
2021-02-25,Sorghum,1361,18.73,25491.53
2021-02-25,Barley,1219,27.95,34071.05
2021-02-26,Rice,638,32.85,20958.3
2021-02-26,Wheat,1569,22.86,35867.34
2021-02-26,Corn,2035,22.57,45929.95
2021-02-26,Millet,1067,17.13,18277.71
2021-02-26,Soybean,757,51.96,39333.72
2021-02-26,Rapeseed,1051,53.87,56617.37
2021-02-26,Peanut,969,58.01,56211.69
2021-02-26,Sorghum,1303,18.35,23910.05
2021-02-26,Barley,1717,30.5,52368.5
2021-02-27,Rice,1234,32.41,39993.94
2021-02-27,Wheat,1383,24.18,33440.94
2021-02-27,Corn,1195,21.8,26051.0
2021-02-27,Millet,555,18.46,10245.3
2021-02-27,Soybean,1087,45.95,49947.65
2021-02-27,Rapeseed,1005,57.11,57395.55
2021-02-27,Peanut,631,65.67,41437.77
2021-02-27,Sorghum,1363,19.18,26142.34
2021-02-27,Barley,1554,25.99,40388.46
2021-02-28,Rice,795,32.4,25758.0
2021-02-28,Wheat,1570,26.06,40914.2
2021-02-28,Corn,1908,23.85,45505.8
2021-02-28,Millet,1072,17.33,18577.76
2021-02-28,Soybean,1308,52.69,68918.52
2021-02-28,Rapeseed,1094,49.61,54273.34
2021-02-28,Peanut,1329,63.9,84923.1
2021-02-28,Sorghum,603,20.5,12361.5
2021-02-28,Barley,1411,27.96,39451.56
2021-03-01,Rice,769,30.88,23746.72
2021-03-01,Wheat,678,26.31,17838.18
2021-03-01,Corn,1111,21.43,23808.73
2021-03-01,Millet,984,16.74,16472.16
2021-03-01,Soybean,1412,48.45,68411.4
2021-03-01,Rapeseed,796,54.5,43382.0
2021-03-01,Peanut,1463,58.5,85585.5
2021-03-01,Sorghum,1021,19.92,20338.32
2021-03-01,Barley,898,26.39,23698.22
2021-03-02,Rice,1464,28.15,41211.6
2021-03-02,Wheat,900,27.01,24309.0
2021-03-02,Corn,616,20.13,12400.08
2021-03-02,Millet,795,18.38,14612.1
2021-03-02,Soybean,879,51.41,45189.39
2021-03-02,Rapeseed,1648,57.9,95419.2
2021-03-02,Peanut,1283,54.86,70385.38
2021-03-02,Sorghum,900,19.92,17928.0
2021-03-02,Barley,1857,28.71,53314.47
2021-03-03,Rice,1049,31.68,33232.32
2021-03-03,Wheat,619,27.22,16849.18
2021-03-03,Corn,1273,24.08,30653.84
2021-03-03,Millet,601,18.09,10872.09
2021-03-03,Soybean,726,53.94,39160.44
2021-03-03,Rapeseed,1794,58.5,104949.0
2021-03-03,Peanut,1294,58.29,75427.26
2021-03-03,Sorghum,1338,19.03,25462.14
2021-03-03,Barley,1444,26.7,38554.8
2021-03-04,Rice,904,32.06,28982.24
2021-03-04,Wheat,765,26.49,20264.85
2021-03-04,Corn,919,20.98,19280.62
2021-03-04,Millet,719,18.58,13359.02
2021-03-04,Soybean,1196,47.04,56259.84
2021-03-04,Rapeseed,1261,54.79,69090.19
2021-03-04,Peanut,915,62.48,57169.2
2021-03-04,Sorghum,1437,18.0,25866.0
2021-03-04,Barley,1768,27.21,48107.28
2021-03-05,Rice,1305,31.56,41185.8
2021-03-05,Wheat,1293,26.79,34639.47
2021-03-05,Corn,1242,24.01,29820.42
2021-03-05,Millet,1193,16.4,19565.2
2021-03-05,Soybean,604,47.18,28496.72
2021-03-05,Rapeseed,2068,56.33,116490.44
2021-03-05,Peanut,874,60.91,53235.34
2021-03-05,Sorghum,559,20.29,11342.11
2021-03-05,Barley,1965,28.29,55589.85
2021-03-06,Rice,1166,28.37,33079.42
2021-03-06,Wheat,812,24.69,20048.28
2021-03-06,Corn,621,24.09,14959.89
2021-03-06,Millet,951,17.57,16709.07
2021-03-06,Soybean,1331,52.04,69265.24
2021-03-06,Rapeseed,1837,56.5,103790.5
2021-03-06,Peanut,816,57.33,46781.28
2021-03-06,Sorghum,1342,20.45,27443.9
2021-03-06,Barley,1644,25.27,41543.88
2021-03-07,Rice,1451,27.25,39539.75
2021-03-07,Wheat,654,23.72,15512.88
2021-03-07,Corn,1261,22.58,28473.38
2021-03-07,Millet,572,18.56,10616.32
2021-03-07,Soybean,1180,47.37,55896.6
2021-03-07,Rapeseed,1813,59.54,107946.02
2021-03-07,Peanut,600,65.27,39162.0
2021-03-07,Sorghum,1291,21.7,28014.7
